Received from:,Description of problem,Requires further investigation to resolve?,Sent staff to room?
OI 2281,no image on screen. windows,0,0
PB B150,wanted to know if wireless mic will get recorded to occs,0,0
BA 2165,log in,0,0
MY 360B,i can't log in,0,0
HS 790,instructor couldn't hear me - strange call,1,0
RL 14190,no hdmi connection,0,1
BA 1190,log in,0,0
WW 121,"""i'm not seeing my laptop's background on the big screen - i'm seeing something else""",0,0
SS 1087,log in,0,0
VC 212,dvd player request,0,1
LM 161,"""hello, can you log me in, please""",0,0
MS 2158,"""it's not showing my slides, it's just showing the background of my desktop, with all the icons pushed to the side.""

she's on a mac, using macos monterey",0,0
OI 5170,log in,0,0
KP 108,"room pc doesn't seem to be working, nor does the hdmi 2 input",1,0
SS 1074,how to bring projector screen down,0,0
ES 1050,instructor just put the last batteries into the mic - the ones in the pouch are used up,1,0
LM 155,turn on projector,0,0
RL 14190,no hdmi connection,0,1
UC 152,log in,0,0
BA 1230,log in,0,0
WW 121,"""it's really hot in here, and i'm teaching here for the next 5 weeks, can you help me get the temperature changed?""",0,0
ES 1050,"""it's okay, i just figured it out""",0,0
UC 144,prof is testing and needs some help with powerpoint settings,0,1
MP 203,screen is black,0,0
BA 1160,enable,0,0
BA 2135,enable,0,0
BA 2135,website is only showing on their laptop and not on the projection screen.,0,0
BA 1170,projector screen not down all the way and no sound from the house system when we play videos,0,0
BA 1170,"we want to plug in our microphone, is that possible?",0,0
BA 2135,enable,0,0
UC 161,"""i've been trying to reach you guys all weekend, i have an international tv interview at 9am, can you send steve or something""",1,1
ES 1050,login request,0,0
MP 203,"""i just figured it out""",0,0
BF 315,controller is offline,0,1
LM 159,"""the podium mic and the wireless mic are not working""",1,0
ES B149,"job talk here later today, can you log us in to test things out",0,0
KP 108,"instructor says projector isn't coming on

image is appearing on touchscreen preview, but nothing is coming up on the big screen, even though it's sent to projector. including room pc - he said that's not appearing on the big screen either

he says no light is coming out of projector in the booth - sounds legit to me
",1,1
ES B149,"""trying to figure out how to connect to projector""",0,0
HS 108,"""hi, i was wondering if you could log me into the desktop in this room""",0,0
MY 420,login,0,0
ES B149,"""hi i have a lecture in here at 10am, can you log me in please?""",0,0
ES B149,mouse fell inside podium,0,1
BL 313,"projector not coming on in room, remotely in xpanel, the ""projector on"" light flashes but at the end of the process, doesn't stay on",0,1
ES B149,looking for the mouse again,0,0
AB 107,login,0,0
GB 304,login,0,0
MS 2173,"""can you please log us into the system""",0,0
SK 548,"""sorry, i touched a button i shouldn't have""",0,0
ES 1050,batteries,0,1
MP 118,"""my laptop image is on the touchscreen, but it's not coming up on the tvs""",0,0
WO 35,prof. needed help setting up,0,0
PB 850,login,0,0
RL 14190,can't get their mac on screen,0,1
UC 161,can't get video up,0,0
BA 2195,"""hello, can you log me in remotely please?""",0,0
WI 1017,needed help getting mac on screen,0,0
BA 1160,"""i've having trouble logging in, can you log me in to the touchscreen please""",0,0
LM 161,"""hello, can you log me in, please""",0,0
MB 128,wireless lav missing,0,1
GB 303,touchscreen is black after touching it,1,1
MS 3153,needs batteries,0,1
LM 162,"""could you please log me in, i'm running late to a set-up""",0,0
PB B250,"""touschscreen caps-lock is stuck on""",1,0
ES B149,"""i'm with astronomy, i've got someone doing a job talk here, can you log me in?""",0,0
LM 162,"glx mic missing, can't find it in the usual place. instructor is using podium mic but would like us to deliver a replacement",1,1
GB 303,login,0,0
SS 1074,"projector turned off mid-class, it's showing up as ""disabled"" in our remote tools",0,0
HS 705,"""we're pressing the power button on the station, but it isn't coming on""",0,0
UC 255,"the connection to my new, mac, the smaller insert, it's missing the adapter that's usually here""

student jumped in to say he needs usb-c",0,1
KP 108,needs batteries,0,0
SS 2118,"""it's all good, thank you""",0,0
UC 255,"""i figured it out"" - no longer needs an adapter",0,0
SS 1078,mouse wasn't working but now it is.,0,0
MS 2170,"""sorry, i pushed the wrong button""",0,0
UC A101,"guest speaker on zoom, audio is not projecting to the in-room speakers",0,0
MS 2173,"""i've got the room booked, but it's not accepting my login""",0,0
GB 221,needs batteries. aa,0,1
MY 330,one of the screens isn't working,1,0
SS 1087,system asking me to login w/ utorid,0,0
UC 140,can't connect w/ system. says check input...,0,1
OI 10200,checking in on tech2u delivery.,0,0
WI 523,login,0,0
UC 140,called in to report all good.  loose connection on their laptop,0,0
SS 1088,all finished with mic.  asking for a pick up,0,0
OI 3312,no answer,0,0
OI 2279,enable. room didn't enable this morning with roomview.,0,0
SK 418,no laptop hdmi image.,0,1
BA 1160,login request,0,0
LM 162,wireless lav is missing. can't find the temporary røde mic.,0,1
SS 1073,wireless keyboard not working.,0,0
BA 1160,personal wireless mic not working. works in other rooms.,0,1
CR 403,won't swtich to hdmi - had to contact st. mike's it,0,1
MS 2172,utorid credentials not working. how to get lecture recorded.,0,0
CR 404,turn on the projector.,0,0
MS 2172,how to lower the projection screen.,0,0
SS 2127,no laptop hdmi image.,0,1
BL 325,no image,0,0
UC 152,can't get laptop to display. ,0,0
OI 4426,projector won't turn on via tsjr nor remote controls.,0,1
MP 118,"""we don't need help thank you""",0,0
SF 1105,battery ran out,0,0
MS 4279,no android tablet image with adapter.,0,1
MY 430,remote login.,0,0
LM 162,didn't know how to work the rode mic,0,0
GB 304,pc not turning on.,0,0
BA B026,no image,0,1
BA 1220,touchscreen is off.,0,0
MS 2173,hdmi 2 image is coming and going.,0,0
IN 204,says a woman technician promised to bring a usb-c dongle every week.,0,1
IN 204,still looking for the dongle.,1,0
HS 106,first time using ts,0,1
UC A101,one of the tvs isn't displaying anything.,0,1
SK 114,projector won't turn on via tsjr controls nor remote controls.,0,1
FE 139,enable.,0,0
BL 112,neither dongles in the room fit their hp laptop.,0,1
WB 119,can't turn off projector 1. keeps getting the cooldown message.,0,0
UC 65,already solved,0,0
GB 119,whining noise in room,0,0
HS 106,having problems with zoom audio,0,0
OI 5280,image keeps dropping,1,1
SF 1105,image shows on the projector but not the preview.,0,1
WB 219,"ts frozen, won't shut off",0,1
UC 256,projector not turning on,0,1
SS 2114,audio is coming through the laptop and not the room speakers.,0,0
SF 1105,how to go back to the main touchscreen view to unmute the source audio.,0,0
SF 1105,how to go back to full-screen.,0,0
647-466-8047,"i'm looking for uc art history department and i""m calling every 978 number i've ever called""",0,0
PB B250,"when entering credentials, shift button is automatically selected making it really difficult to enter password",1,1
OI 5170,zoom can't detect a microphone.,0,1
LM 123,already solved,0,0
MY 330,ta login.,0,0
GB 248,"""system is on the fritz as usual. can you send someone?""",0,1
MY 420,"touchscreen distorted, unable to control. image dropped. ",0,1
MS 2172,room pc showing black screen,0,1
OI 2295,calling about oi 2295 intercom not working/projector not turning on. (called from oi 2211),1,1
SK 222,projector was flickering,0,0
OI 2295,calling to let us know they are having trouble with the gear (external call),0,0
HS 610,bring more batteries for the clip on mic,0,0
WB 119,projector not consistantly turning on,1,1
OI 5160,internet connection issues,0,1
BL 112,bl 112 - no acces   bl 113 - chair/bl114 table (andy allen calling in),0,0
WB 130,preview screen is black,0,1
OI 5170,"""is anyone going to come pick up the webcam?""",0,0
BA 2145,no image,0,0
WB 130,letting us know he turned the cpu on and off a bunch of times and it worked but had trouble with the mouse,0,0
LM 162,looking for w/l mic,1,1
WB 130,mouse not working ,0,1
OI 5150,no image,0,0
MY 420,powering on issues and complaining about display issues as well,0,1
WO 25,log in request,0,0
MY 430,log in request,0,0
BA 2139,wanted to know if there are any power plugs near the podium,0,0
SS 2127,sound not coming through,0,1
BA 2179,overnight call,0,0
WW 126,doesn't know how to get audio through system,0,0
LM 162,asking where wireless mic was,1,1
WB 116,projector not turning on,1,1
MR 6,tm e crash,0,0
UC A101,hdmi connection,0,1
KP 108,just letting us know the adapter wasn't working and the preview screen wasn't getting an image,0,1
WB 119,login,0,0
SS 1088,room too cold,0,0
KP 108,called back to ask when help is arriving,0,0
BL 313,"sent steve: ""there’s a remote in the room. i just turned it on. i’ll give that crestron a reboot after""",0,1
SK 548,projector not turning on,0,0
OI 2214,loud screechy sound coming from speakers,0,1
OI 10204,please restart 10204 (called from oi 10200),0,0
BA 1130,log in,0,0
UC A101,can't get audio from desktop pc,1,1
MY 150,rsx.utoronto@gmail.com requested av in my 150 march 12th utias event via email,0,0
WB 116,resolved,0,0
MY 315,confirming yamaha unit,0,0
BA 2179,login,0,0
MY 315,found correct podium,0,0
SS 1069,login,0,0
MR 6,tm e crash,0,0
GB 303,battery dead,0,0
MY 315,assist hasn't arrived yet,0,1
SF 2202,projector not working,0,0
TF 210,login,0,0
MR 6,tm e crash,0,0
BF 215,matt testing,0,0
BL 116,login,0,0
MY 315,strike,0,0
MY 360B,login,0,0
WW 126,416-573-2373 - projector not turning on,0,1
MC 254,log in,0,0
BA 2155,login,0,0
UC 261,projector,0,0
UC A101,4/6 student displays aren't on,0,1
BA 1130,using last set of batteries,1,0
MY 420,one monitor not turning on,0,1
MR 6,tm e crash,0,0
MS 3154,batteries,0,1
UC 67,projector keeps dropping image,0,1
MY 480,room pc to monitor issues,0,1
GB 221,no audio from video play via hdmi,0,0
WB 119,not projecting,0,0
BA 1170,"""touching the touch screen and nothing is happening""",0,0
BA 1170,wanted help with projecting ,0,1
MS 3153,was not projecting,0,0
MS 3153,lapel mic trouble,0,1
MS 3153,mics aren't working,0,1
BA 2159,window machine resolution pop up error,0,0
BL 116,projecting not showing fully on ,0,0
BA 1220,log in request,0,0
GB 304,have a clock on their room pc and one of their monitors isn't working,0,1
OI 8280,wasn't projecting,0,0
OI 8280,says no input,0,0
OI 2205,"she can't get sound up from her laptop.

started walking her thru remote support using kb (she's on macos ventura), but she said ""a very aggressive icloud pop-up is blocking my ability to follow your instructions""",0,1
UC 179,"""it's not letting me use my utorid to start up the projector, can you help me out?""",0,0
UC 179,"""i'm wondering how to turn on the mic""",0,0
MS 2173,"""we haven't been able to login, for some reason""",0,0
HS 610,"""hi i tried several times but i couldn't log in to the teaching station, can you log me in?""",0,0
SS 2102,"says hdmi adapter isn't working for his ipad, even though it's worked several times before in this room, with same adapter.",0,1
HS 610,"needs aas for w/lav, says there aren't any fresh ones in the pouch",0,1
WI 524,"instructor sounds very non-technical, it sounds like maybe she's made plans with amy to visit beginning of class at 10am for an assist?",0,0
OI 2214,"projector screen blank (not even check input terminal, etc). ",0,1
BF 315,"projector isn't coming on for him

we don't have any remote access - fusion web app is showing the room as ""disconnected""",0,1
SS 1071,"instructor needs help getting audio up from the room pc

probably very simple: she says that the volume of the intercom is too loud, will disturb students
",0,1
BF 315,can't turn station on,0,1
SS 2105,video mute stuck on - jr station unresponsive to e-control. ,0,1
ES 1050,"""are you aware that the podium mic isn't working in this room?""",0,0
SS 2125,audio not sending to room,0,0
OI 8280,projector asleep,0,0
MY 350,enable,0,0
HS 610,image not sending to projector,0,0
SS 1084,projector dropped connection mid lecture,0,1
BL 507,wanted to know the wifi user / password,0,0
HS 705,projector not turning on via e-control or podium panel,0,1
BL 507,embedded video not playing,0,0
BA 2175,microphone cabinet button not working,0,1
SS 2125,image not displaying,0,1
Phone call,instructor locked out of classroom,0,0
GB 244,projector not receiving image. seeing image in podium,0,1
WI 1016,couldn't send audio from teams to the room (that's a rare one),0,0
BL 116,"instructor claims audio is coming out of projector, not in-room speakers",1,1
BA 1220,"""authorization failed"", unable to login",0,0
MY 490,"""it is resolved, thank you""",0,0
UC 161,"""hi can you hook me up to the system please""",0,0
BL 114,"hdmi cable has ""fallen apart"" ",0,1
BA 2135,"""i'm having trouble getting the pc up & running""",0,0
MY 320,says she only sees the room pc regardless of what source is being selected.,0,1
MS 2173,"his image is showing up on the touchscreen preview, but he says there's nothing on the big projection screen

the xpanel isn't letting me mute or unmute the projector, so i suspect the instructor is correct.

might simply be de-synced, and need to bring a remote control",1,1
BA 1180,"""already solved'",0,0
BL 114,wondering where tech was,0,0
OI 11204,"noticed that room was disabled, remotely re-enabled it",0,0
MC 254,"""oh sorry i just randomly pressed the button""",0,0
AB 107,"mac laptop running macos ventura can't get image up on the big screen

everything seems fine at my end: looks like projector is on, hdmi is selected (there's only one, i think)

he unplugged & replugged the adapter for me, no change

in settings > displays, it only shows his laptop. which means his mac isn't ""seeing"" the external display

might need to try a different dongle",0,1
